r_id,r_name,instructions,description,cooking_time,writer_id
195881,egyptian lahma bil basal  beef in rich onion sauce,"['wash the meat well', 'put into a saucepan with butter and oil', 'cook until all beef lightly browned', 'add all sliced onions , bouillon cubes , salt and pepper , bay leaf and stir around cooking on medium-low heat for 15 minutes', 'add water , approximately 1-1 / 2 cups , turn to low , cover and cook for 2 hours or more', 'check during cooking , add more water if too dry', 'but the onions should give enough liquid with initial water you added', 'when finished you should have super tender beef with a thick oniony sauce', 'the onions will have cooked down to a thick rich sauce', 'serve with rice , pita bread or your favorite pasta , yes pasta', 'makes a great , different sauce really']","this is amazing! very popular, simple dish made in egyptian households. once you make it, it will become a favorite for sure. the key is in the onion's consistency once they cook down to the delicious thick sauce. anyway enjoy, serve with rice or your favorite pasta. enjoy!",130,1
21748,cream of soup chicken,"['brown chicken in a bit of oil in a large frying pan', 'combine soups and 1 soup can of broth', 'pour over chicken', 'simmer until chicken is cooked thru and sauce is of gravy consistancy', 'pass gravy with chicken', 'serve with rice or mashed potatoes']",fast and easy comfort food for those cream of whatever days we have all enjoyed at one time or another. can be done in the crockpot too.,40,1
191279,green chili puff,"['preheat oven to 350 degrees', 'beat eggs until light and lemon colored', 'add flour , baking powder , and salt , and beat until smooth', 'add cottage cheese , mozzarella , green onions , cheddar , melted margerine , and green chilies', 'stir until well mixed', 'pour into pam sprayed 9x13 inch baking dish', 'bake about 40 minutes , or until top is slightly brown around the edges and center appears firm', 'serve immediately', 'can be served with salsa on the side']","really easy and versatile - little squares served warm as an appy, or larger portions for lunch or brunch.  is great with a mexican meal.  from ""mother's recipes"" by jones and jones.",60,1
253039,gluten free corn dogs,"['pat hot dogs dry with a paper towel', 'insert a wooden skewer into each hot dog', 'in a pie pan , combine the rice flour , tapioca starch , potato starch , corn flour , sugar , baking powder and dry mustard', 'in another bowl combine the egg , milk and 2 tbsp oil', 'add to the dry ingredients and mix well', 'the batter will be thick', 'roll the hot dogs in the extra rice flour and then coat in the batter', 'deep fry and dry on paper towels']","this recipe is originally from ""incredible edible gluten free food for kids"" but has been altered. totally delicious!",35,1
111111,carrot   tuna salad,"['put the carrots in a microwave-safe bowl or dish', 'mix in the onions , garlic , and oil', 'cover and microwave for 1- 1 1 / 2 minutes at 600 watts', 'drain the tuna', 'mix the vinegar , mustard , soy sauce , and salt and pepper to taste to make a dressing', 'once the carrots are lightly cooked but still crisp , add the tuna and then the dressing and mix well', 'serve warm or cold', 'she']","this recipe is by harumi kurihara, who is reportedly sort of the japanese parallel to martha stewart or delia smith. she says it is one of the most popular dishes she has ever developed. though it is from a japanese cook, it's not a traditionally japanese dish, but more international. i wasn't sure what to make of it - the carrots are fairly sweet, and the dressing quite tangy, so the effect is sweet-tart in the way that coleslaw often is (it doesn't really taste like coleslaw; i'm just trying to explain an aspect of the flavor). i have never been a big fan of that flavor, but i know a lot of people love it, so i thought i'd post this. her method of quickly steaming the carrots in the microwave is definitely good. ms. kurihara pictures this served with japanese dishes, but i think it would be good served with american picnic barbecue foods like hamburgers and barbecued chicken! the cookbook was translated from japanese to english in england, so the measurements are british-style. i have tried to give american measurement equivalents where i could; these are approximations. i bought the carrots pre-slivered in the salad section; that made it quite easy.",21,1
385217,tomato basil couscous salad,"['combine couscous , tomato , chickpeas , scallions , oil , lemon juice , and basil in a bowl', 'toss and serve on a bed of lettuce']","from ""the south beach diet"" copyright 2003. phase two recipe. adapted to serve 3.",5,1
78804,white christmas,"['mix dry ingredients in a bowl', 'melt kremelta and pour over dry mix', 'mix well', 'press into a flat , lightly greased , baking tin and cut before too hard', 'refrigerate']","for those non-nzers, kremelta is the equivalent of the australian ",10,1
99282,zucchini spoon bread,"['in a large saucepan combine , corn , onions , pepper strips , and water', 'bring to boiling', 'reduce heat , cover and simmer for 5 minutes', 'do not drain , stir in zucchini , tomatoes , cheese and cornmeal , set aside', 'in a small mixing bowl beat eggs', 'stir in milk , salt , pepper , and hot pepper sauce', 'stir egg mixture into the vegetable mixture in saucepan', 'turn mixture into a greased 1-1 / 2-quart casserole', 'bake , uncovered , in a 350 degree oven about 40 minutes or until set , let stand for 5 minutes before serving']","this spoon bread is delicious, a good way to use those zucchini out of the garden. for extra flavor or heat add 2 or 3 jalapeno peppers. recipes comes from betters homes and gardens.com.
spoon bread is a side dish, eaten with a spoon. it is called a bread because of the ingredients. enjoy",60,1
314940,basmati rice,"['bring water , salt , and butter to a boil', 'stir in rice with a fork', 'bring back to a boil , then cut heat to simmer , to prevent ""boiling over""', 'cover and cook for 20 minutes']",a hearty flavorful rice. use in indian cooking. is not overpowered by spices.,25,1
280880,cafe foster,"['combine ingredients in a coffee mug', 'top with whipped cream']","yo ho matey, here be some of capt'n jack sparrow's rum!",4,1
78579,pan release  professional pan coating  better than pam spray,"['place all ingredients in a mixing bowl', 'using an electric mixer beat until mixture has increased in volume slightly and resembles marshmallow cream', 'place in a container with a lid and store on the counter or in a cupboard', 'the mixture tends to separate slightly upon sitting in your cupboard or refrigerator so mix before using , then brush pans using a pastry brush or a clean paper towel']","if you bake and cook everyday then this is a must to have in your cupboard, it's so much cheaper than using cooking spray and works even better than pam cooking spray, no chemical fumes and will not leave burnt on black residue on the edges of your pans like cooking spray will and will keep forever in your cupboard --- for baking recipes using chocolate you may use 1/2 cup unsweetened cocoa powder in place of white flour or 1/4 cup each cocoa powder and flour ---  this may be increased or decreased sucessfully just make certain that *all* three ingredients are the same amounts or the mixture will not work as well ;-)",5,1
299075,herb coated cod,"['preheat oven to 400 degrees fahrenheit', 'grease a 13-inch x 9-inch x 2-inch baking dish', 'crush butter-flavored crackers either in a ziploc bag with a rolling pin or bottle of sherry , or in a food processor', 'melt butter over low heat , and place in a shallow bowl', 'in another bowl , combine the crackers , cheese and seasonings', 'dip fillets in butter , then coat with crumbs', 'place coated cod fillets in baking dish', 'bake , uncovered , at 400 degrees fahrenheit for 15-20 minutes or until fish flakes easily with a fork']","a very simple but yummy way to prepare cod.  the buttery flavor has saved more than one meal of frozen cod at our house.  i thank harriet stichter of milford, in for submitting this to toh, as it appears in the toh cookbook.",20,1
