r_id,t_id
60019,17
60019,51
60019,18
60019,53
60019,153
60019,242
60019,42
60019,76
60019,47
60019,155
60019,65
8401,20
8401,2
8401,3
8401,10
8401,4
8401,58
8401,49
8401,15
8401,17
8401,18
8401,53
8401,252
181282,54
181282,2
181282,3
181282,10
181282,34
181282,4
181282,36
181282,58
181282,49
181282,37
181282,8
181282,70
181282,15
181282,253
181282,254
181282,53
181282,76
395398,2
395398,10
395398,4
395398,11
395398,13
395398,26
395398,15
395398,18
395398,65
165362,1
165362,2
165362,3
165362,4
165362,35
165362,103
165362,140
165362,210
165362,42
165362,154
165362,32
4143,20
4143,2
4143,10
4143,4
4143,35
4143,124
4143,15
4143,16
4143,17
4143,18
4143,53
4143,187
4143,32
76215,20
76215,2
76215,3
76215,4
76215,35
76215,21
76215,5
76215,98
76215,8
76215,61
76215,255
76215,189
76215,32
76215,33
252008,20
252008,2
252008,3
252008,10
252008,34
252008,4
252008,36
252008,22
252008,12
252008,202
252008,59
252008,37
252008,161
252008,82
252008,15
252008,28
252008,205
252008,44
252008,18
252008,53
252008,47
252008,173
228592,2
228592,3
228592,10
228592,34
228592,4
228592,58
228592,116
228592,59
228592,256
228592,8
228592,67
228592,118
228592,82
228592,15
228592,16
228592,17
228592,18
228592,53
228592,31
228592,65
55809,1
55809,2
55809,3
55809,4
55809,35
55809,257
55809,7
55809,48
55809,129
55809,8
55809,87
55809,60
55809,61
55809,38
55809,139
55809,9
55809,15
55809,71
55809,189
55809,84
55809,51
55809,52
55809,96
55809,57
55809,42
55809,43
55809,76
55809,102
55809,245
55809,32
159913,54
159913,2
159913,3
159913,10
159913,34
159913,4
159913,35
159913,36
159913,103
159913,22
159913,140
159913,66
159913,258
159913,8
159913,259
159913,260
159913,15
159913,211
159913,261
159913,170
159913,248
159913,171
159913,96
159913,32
326446,1
326446,2
326446,3
326446,4
326446,5
326446,140
326446,55
326446,8
326446,210
326446,51
326446,33
333739,2
333739,3
333739,10
333739,34
333739,4
333739,35
333739,240
333739,59
333739,174
333739,206
333739,139
333739,82
333739,84
333739,53
333739,262
333739,31
333739,65
134106,1
134106,2
134106,3
134106,10
134106,34
134106,4
134106,35
134106,36
134106,80
134106,58
134106,49
134106,128
134106,8
134106,87
134106,60
134106,61
134106,204
134106,70
134106,15
134106,83
134106,51
134106,72
134106,231
134106,73
134106,53
134106,96
134106,42
134106,76
248754,1
248754,2
248754,3
248754,10
248754,34
248754,4
248754,36
248754,22
248754,5
248754,58
248754,55
248754,116
248754,37
248754,8
248754,26
248754,15
248754,31
248754,33
54180,20
54180,2
54180,3
54180,4
54180,5
54180,132
54180,7
54180,8
54180,87
54180,144
54180,193
54180,15
169262,1
169262,2
169262,3
169262,10
169262,34
169262,4
169262,35
169262,48
169262,12
169262,13
169262,263
169262,67
169262,60
169262,61
169262,264
455203,1
455203,2
455203,3
455203,10
455203,34
455203,4
455203,35
455203,140
455203,136
455203,67
455203,265
455203,210
455203,137
455203,15
455203,207
455203,107
455203,96
456216,77
456216,54
456216,2
456216,3
456216,10
456216,34
456216,4
456216,35
456216,58
456216,116
456216,124
456216,13
456216,67
456216,60
456216,117
456216,40
456216,53
456216,31
456216,222
456216,42
287328,2
287328,3
287328,4
287328,7
287328,8
287328,193
287328,51
287328,33
287328,65
162498,1
162498,2
162498,3
162498,10
162498,4
162498,35
162498,58
162498,55
162498,116
162498,111
162498,8
162498,87
162498,60
162498,40
162498,51
162498,31
162498,114
162498,266
162498,42
124844,20
124844,2
124844,3
124844,4
124844,103
124844,12
124844,8
124844,267
124844,15
124844,32
124844,33
268514,54
268514,2
268514,3
268514,10
268514,34
268514,4
268514,36
268514,268
268514,58
268514,111
268514,67
268514,218
268514,213
268514,220
392707,2
392707,3
392707,10
392707,4
392707,103
392707,5
392707,94
392707,80
392707,136
392707,124
392707,8
392707,89
392707,137
392707,204
392707,15
392707,17
392707,18
392707,53
392707,126
392707,76
392707,32
392707,33
392707,65
314797,20
314797,2
314797,3
314797,10
314797,4
314797,11
314797,5
314797,98
314797,8
314797,14
314797,15
314797,16
314797,51
314797,18
314797,33
261199,20
261199,2
261199,3
261199,4
261199,35
261199,22
261199,5
261199,58
261199,8
261199,26
261199,15
261199,119
261199,40
261199,42
237007,10
237007,4
237007,59
237007,82
237007,204
237007,15
237007,30
237007,17
237007,18
237007,53
237007,108
237007,76
2752,2
2752,3
2752,10
2752,4
2752,103
2752,140
2752,66
2752,269
2752,8
2752,260
2752,15
2752,141
2752,76
2752,102
2752,32
2752,33
2752,65
259228,270
259228,1
259228,2
259228,3
259228,10
259228,34
259228,4
259228,35
259228,36
259228,24
259228,48
259228,124
259228,13
259228,37
259228,8
259228,70
259228,50
259228,53
259228,127
259228,19
259228,96
259228,76
73918,1
73918,2
73918,3
73918,4
73918,80
293044,1
293044,2
293044,3
293044,10
293044,4
293044,55
293044,13
293044,8
293044,271
183542,20
183542,2
183542,3
183542,10
183542,34
183542,4
183542,11
183542,22
183542,12
